排名,电影名,电影详情,电影评分,评价人数,点评
28,搏击俱乐部/FightClub/搏击会(港)/斗阵俱乐部(台),导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton/布拉...1999/美国德国/剧情动作悬疑惊悚,9.0,433527,邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。
29,少年派的奇幻漂流/LifeofPi/少年Pi的奇幻漂流/漂流少年Pi,导演:李安AngLee主演:苏拉·沙玛SurajSharma/伊尔凡·可汗Irrfan...2012/美国台湾英国加拿大/剧情奇幻冒险,9.0,639179,瑰丽壮观、无人能及的冒险之旅。
30,鬼子来了/DevilsontheDoorstep,导演:姜文WenJiang主演:姜文WenJiang/香川照之TeruyukiKagawa/...2000/中国大陆/剧情历史战争,9.2,259196,对敌人的仁慈，就是对自己残忍。
31,蝙蝠侠：黑暗骑士/TheDarkKnight/蝙蝠侠前传2：黑暗骑士/黑暗骑士(台),导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...2008/美国英国/剧情动作科幻犯罪惊悚,9.1,366396,无尽的黑暗。
32,指环王3：王者无敌/TheLordoftheRings:TheReturnoftheKing/魔戒三部曲：王者再临(台/港),导演:彼得·杰克逊PeterJackson主演:维果·莫腾森ViggoMortensen/...2003/美国新西兰/剧情动作奇幻冒险,9.1,314052,史诗的终章。
33,活着/人生/Lifetimes,导演:张艺谋YimouZhang主演:葛优YouGe/巩俐LiGong/姜武WuJiang1994/中国大陆香港/剧情历史家庭,9.1,305220,张艺谋最好的电影。
34,天空之城/天空の城ラピュタ/TenkûnoshiroRapyuta/Laputa:CastleintheSky,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka/横泽启子Ke...1986/日本/动画奇幻冒险,9.0,368875,对天空的追逐，永不停止。
35,疯狂动物城/Zootopia/优兽大都会(港)/动物方城市(台),导演:拜伦·霍华德ByronHoward/瑞奇·摩尔RichMoore主演:金妮弗·...2016/美国/喜剧动画冒险,9.2,583106,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
36,罗马假日/RomanHoliday/金枝玉叶(港)/罗马假期(台),导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn/格...1953/美国/喜剧剧情爱情,8.9,425048,爱情哪怕只有一天。
37,大话西游之月光宝盒/西遊記第壹佰零壹回之月光寶盒/西游记101回月光宝盒/齐天大圣东游记,导演:刘镇伟JeffreyLau主演:周星驰StephenChow/吴孟达ManTatNg...1995/香港中国大陆/喜剧爱情奇幻冒险,8.9,450164,旷古烁今。
38,飞屋环游记/Up/冲天救兵(港)/天外奇迹(台),导演:彼特·道格特PeteDocter/鲍勃·彼德森BobPeterson主演:爱德...2009/美国/剧情喜剧动画冒险,8.9,553147,最后那些最无聊的事情，才是最值得怀念的。
39,窃听风暴/DasLebenderAnderen/他人的生活/别人的生活,导演:弗洛里安·亨克尔·冯·多纳斯马FlorianHenckelvonDonnersmarck...2006/德国/剧情悬疑,9.1,248766,别样人生。
40,"两杆大烟枪/Lock,StockandTwoSmokingBarrels/够姜四小强(港)/两根枪管(台)",导演:GuyRitchie主演:JasonFlemyng/DexterFletcher/NickMoran1998/英国/剧情喜剧犯罪,9.1,296105,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。
41,控方证人/WitnessfortheProsecution/雄才伟略/情妇,导演:比利·怀尔德BillyWilder主演:查尔斯·劳顿CharlesLaughton/...1957/美国/剧情犯罪悬疑,9.6,110909,比利·怀德满分作品。
42,飞越疯人院/OneFlewOvertheCuckoo'sNest/飞越杜鹃窝(台)/飞越喜鹊巢,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...1975/美国/剧情,9.0,300481,自由万岁。
43,闻香识女人/ScentofaWoman/女人香/女人的芳香,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino/克里斯...1992/美国/剧情,8.9,357581,史上最美的探戈。
44,哈尔的移动城堡/ハウルの動く城/呼啸山城/霍尔的移动城堡,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô/木村拓...2004/日本/动画奇幻冒险,8.9,392161,带着心爱的人在天空飞翔。
45,海豚湾/TheCove/血色海湾(台)/海湾,导演:LouiePsihoyos主演:JohnChisholm/Mandy-RaeCruikshank/Char...2009/美国/纪录片,9.3,195681,海豚的微笑，是世界上最高明的伪装。
46,V字仇杀队/VforVendetta/V煞(港)/V怪客(台),导演:詹姆斯·麦克特格JamesMcTeigue主演:娜塔莉·波特曼NataliePor...2005/美国英国德国/剧情动作科幻惊悚,8.8,463132,一张面具背后的理想与革命。
47,辩护人/변호인/逆权大状(港)/正义辩护人(台),导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong/吴达洙Dal-suO...2013/韩国/剧情,9.1,236356,电影的现实意义大过电影本身。
48,死亡诗社/DeadPoetsSociety/暴雨骄阳(港)/春风化雨(台),导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams/罗伯...1989/美国/剧情,9.0,307996,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
49,教父2/TheGodfather:PartⅡ/教父续集/教父II,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1974/美国/剧情犯罪,9.1,206977,优雅的孤独。
50,美丽心灵/ABeautifulMind/有你终生美丽(港)/美丽境界(台),导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe/詹妮弗·...2001/美国/传记剧情,8.9,333050,爱是一切逻辑和原由。
51,指环王2：双塔奇兵/TheLordoftheRings:TheTwoTowers/魔戒二部曲：双城奇谋/指环王II：双塔,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2002/美国新西兰/剧情动作奇幻冒险,9.0,295390,承前启后的史诗篇章。
52,指环王1：魔戒再现/TheLordoftheRings:TheFellowshipoftheRing/魔戒首部曲：魔戒现身/指环王I：护戒使者,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood/西恩...2001/新西兰美国/剧情动作奇幻冒险,8.9,330647,传说的开始。
53,情书/LoveLetter/WhenICloseMyEyes/LettersofLove,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama/丰川悦司Ets...1995/日本/剧情爱情,8.8,410404,暗恋的极致。
