排名,电影名,电影详情,电影评分,评价人数,点评
112,恐怖直播/더테러라이브/死亡“动”新闻(港)/恐怖攻击直播(台),导演:金秉祐Byeong-wooKim主演:河正宇Jung-wooHa/李璟荣Kyeong-y...2013/韩国/剧情犯罪悬疑,8.7,240984,恐怖分子的“秋菊打官司”。
113,超脱/Detachment/人间师格(台),导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody/马西...2011/美国/剧情,8.8,185079,穷尽一生，我们要学会的，不过是彼此拥抱。
114,萤火虫之墓/火垂るの墓/再见萤火虫(港)/萤火挽歌,导演:高畑勋IsaoTakahata主演:辰己努/白石绫乃/志乃原良子1988/日本/动画剧情战争,8.7,216773,幸福是生生不息，却难以触及的远。
115,驯龙高手/HowtoTrainYourDragon/驯龙记(港),导演:迪恩·德布洛斯DeanDeBlois/克里斯·桑德斯ChrisSanders主演:...2010/美国/喜剧动画奇幻冒险家庭,8.7,304076,和谐的生活离不开摸头与被摸头。
116,幸福终点站/TheTerminal/机场客运站(港)/航站情缘(台),导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...2004/美国/喜剧剧情爱情,8.6,238666,有时候幸福需要等一等。
117,菊次郎的夏天/菊次郎の夏/Kikujirônonatsu/菊次郎的夏天,导演:北野武TakeshiKitano主演:北野武TakeshiKitano/关口雄介Yus...1999/日本/剧情喜剧,8.7,194944,从没见过那么流氓的温柔，从没见过那么温柔的流氓。
118,小森林夏秋篇/リトル・フォレスト夏・秋/小森食光/夏秋篇(台),导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...2014/日本/剧情,8.9,143502,那些静得只能听见呼吸的日子里，你明白孤独即生活。
119,喜剧之王/喜劇之王/KingofComedy,导演:周星驰StephenChow/李力持Lik-ChiLee主演:周星驰StephenCh...1999/香港/喜剧剧情爱情,8.5,340167,我是一个演员。
120,岁月神偷/歲月神偷/1969太空漫游/EchoesOfTheRainbow,导演:罗启锐AlexLaw主演:吴君如SandraNg/任达华SimonYam/钟绍...2010/香港中国大陆/剧情家庭,8.6,322738,岁月流逝，来日可追。
121,借东西的小人阿莉埃蒂/借りぐらしのアリエッティ/借物少女艾莉缇(台)/借东西的小矮人亚莉亚蒂(港),导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida/神木...2010/日本/动画奇幻冒险,8.7,231359,曾经的那段美好会沉淀为一辈子的记忆。
122,七武士/七人の侍/七侠四义(港)/TheSevenSamurai,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/志村乔...1954/日本/动作冒险剧情,9.2,82129,时代悲歌。
123,神偷奶爸/DespicableMe/卑鄙的我/坏蛋奖门人(港),导演:皮艾尔·柯芬PierreCoffin/克里斯·雷纳德ChrisRenaud主演:...2010/美国法国/喜剧动画冒险,8.5,404012,Mr. I Don't Care其实也有Care的时候。
124,杀人回忆/살인의추억/谋杀回忆/杀手回忆录,导演:奉俊昊Joon-hoBong主演:宋康昊Kang-hoSong/金相庆Sang-kyun...2003/韩国/犯罪剧情悬疑惊悚,8.7,221987,关于连环杀人悬案的集体回忆。
125,海洋/Océans/Oceans/海洋,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud主演:...2009/法国瑞士西班牙美国阿联酋/纪录片,9.0,102534,大海啊，不全是水。
126,真爱至上/LoveActually/爱是您，爱是我(台)/真的恋爱了(港),导演:理查德·柯蒂斯RichardCurtis主演:休·格兰特HughGrant/柯林...2003/英国美国法国/喜剧剧情爱情,8.5,331711,爱，是个动词。
127,电锯惊魂/Saw/夺魂锯(台)/恐惧斗室(港),导演:詹姆斯·温JamesWan主演:雷·沃纳尔LeighWhannell/加利·艾...2004/美国/悬疑惊悚恐怖,8.7,210157,真相就在眼前。
128,贫民窟的百万富翁/SlumdogMillionaire/贫民百万富翁(台)/一百万零一夜(港),导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan主演:戴夫...2008/英国美国/剧情爱情,8.5,414526,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁
129,谍影重重3/TheBourneUltimatum/叛谍追击3：最后通牒(港)/神鬼认证：最后通牒(台),导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...2007/美国德国/动作悬疑惊悚,8.7,190808,像吃了苏打饼一样干脆的电影。
130,喜宴/囍宴/TheWeddingBanquet,导演:李安AngLee主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...1993/台湾美国/剧情喜剧爱情同性家庭,8.8,149147,中国家庭的喜怒哀乐忍。
131,东邪西毒/東邪西毒/AshesofTime,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/张曼玉MaggieC...1994/香港台湾/剧情动作爱情武侠古装,8.6,265925,电影诗。
132,记忆碎片/Memento/失忆/记忆拼图(台),导演:克里斯托弗·诺兰ChristopherNolan主演:盖·皮尔斯GuyPearce/...2000/美国/犯罪剧情悬疑惊悚,8.5,294946,一个针管引发的血案。
133,雨人/RainMan/手足情未了/手足情深,导演:巴瑞·莱文森BarryLevinson主演:达斯汀·霍夫曼DustinHoffman...1988/美国/剧情,8.6,220035,生活在自己的世界里，也可以让周围的人显得可笑和渺小。
134,"怪兽电力公司/Monsters,Inc./怪兽公司(港)/怪物公司",导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman主演:约...2001/美国/喜剧动画儿童奇幻,8.6,257017,不要给它起名字，起了名字就有感情了。
135,疯狂原始人/TheCroods/古鲁家族(港/台),导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders主演...2013/美国/喜剧动画冒险,8.7,390433,老少皆宜，这就是好莱坞动画的魅力。
136,黑天鹅/BlackSwan/夺命黑天鹅/霸王别鹅(豆友译名),导演:达伦·阿罗诺夫斯基DarrenAronofsky主演:娜塔莉·波特曼Natalie...2010/美国/剧情惊悚,8.5,439385,黑暗之美。
137,英雄本色/ABetterTomorrow/GanglandBoss,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/狄龙LungTi/张国...1986/香港/动作犯罪,8.7,178978,英雄泪短，兄弟情长。
138,燃情岁月/LegendsoftheFall/秋日传奇/真爱一世情(台),导演:爱德华·兹威克EdwardZwick主演:安东尼·霍普金斯AnthonyHopki...1994/美国/剧情爱情西部家庭,8.7,154388,传奇，不是每个人都可以拥有。
139,卢旺达饭店/HotelRwanda/卢安达饭店(台),导演:特瑞·乔治TerryGeorge主演:唐·钱德尔DonCheadle/苏菲·奥...2004/英国南非意大利美国/剧情历史战争,8.8,126864,当这个世界闭上双眼，他却敞开了怀抱。
140,虎口脱险/Lagrandevadrouille/横冲直撞出重围(港)/大進擊(台),导演:杰拉尔·乌里GérardOury主演:路易·德·菲耐斯LouisdeFunès...1966/法国英国/喜剧战争,8.9,112136,永远看不腻的喜剧。
141,恋恋笔记本/TheNotebook/深情日记/写我情真,导演:尼克·卡索维茨NickCassavetes主演:瑞恩·高斯林RyanGosling/...2004/美国/剧情爱情,8.5,299611,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。
142,7号房的礼物/7번방의선물/戆爸的礼物(港)/7号囚房的礼物,导演:李焕庆Hwan-kyeongLee主演:柳承龙Seung-yongRyoo/朴信惠Shi...2013/韩国/剧情喜剧家庭,8.7,188371,《我是山姆》的《美丽人生》。
143,傲慢与偏见/Pride&Prejudice/傲慢与偏见2005/PrideAndPrejudice,导演:乔·怀特JoeWright主演:凯拉·奈特莉KeiraKnightley/马修·...2005/法国英国美国/剧情爱情,8.5,320151,爱是摈弃傲慢与偏见之后的曙光。
144,海边的曼彻斯特/ManchesterbytheSea/情系海边之城(港)/海曼,导演:肯尼斯·罗纳根KennethLonergan主演:卡西·阿弗莱克CaseyAffle...2016/美国/剧情家庭,8.6,207294,我们都有权利不与自己的过去和解。
145,小森林冬春篇/リトル・フォレスト冬・春/小森食光/冬春篇(台),导演:森淳一JunichiMori主演:桥本爱AiHashimoto/三浦贵大Takahir...2015/日本/剧情,8.9,124970,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。
146,哈利·波特与死亡圣器(下)/HarryPotterandtheDeathlyHallows:Part2/哈利波特7：死神的圣物2(港/台),导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...2011/美国英国/剧情悬疑奇幻冒险,8.7,289305,10年的完美句点。
147,萤火之森/蛍火の杜へ/萤火之社/Hotarubinomorie,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura/内山昂辉K...2011/日本/剧情爱情动画奇幻,8.7,168413,触不到的恋人。
148,教父3/TheGodfather:PartIII/教父第三集/教父III,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...1990/美国/剧情犯罪,8.8,138383,任何信念的力量，都无法改变命运。
149,纵横四海/緃横四海/OnceaThief,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/张国荣LeslieCheung...1991/香港/剧情喜剧动作犯罪,8.7,155965,香港浪漫主义警匪动作片的巅峰之作。
150,完美的世界/APerfectWorld/强盗保镳,导演:克林特·伊斯特伍德ClintEastwood主演:凯文·科斯特纳KevinCos...1993/美国/剧情犯罪,9.0,85976,坏人的好总是比好人的好来得更感人。
151,荒蛮故事/Relatossalvajes/蛮荒故事/生命中最抓狂的小事(台),导演:达米安·斯兹弗隆DamiánSzifron主演:达里奥·葛兰帝内提Darío...2014/阿根廷西班牙/剧情喜剧犯罪,8.8,151085,始于荒诞，止于更荒诞。
152,魂断蓝桥/WaterlooBridge/滑铁卢桥/断桥残梦,导演:MervynLeRoy主演:VivienLeigh/RobertTaylor/LucileWatson1940/美国/剧情战争爱情,8.8,135250,中国式内在的美国电影。
153,二十二/TwentyTwo/22,导演:郭柯KeGuo主演:2015/中国大陆/纪录片,8.8,105054,有一些东西不应该被遗忘。
154,猜火车/Trainspotting/迷幻列车(港)/定位的火车,导演:丹尼·博伊尔DannyBoyle主演:伊万·麦克格雷格EwanMcGregor/...1996/英国/犯罪剧情,8.5,258874,不可猜的青春迷笛。
155,穿越时空的少女/時をかける少女/跳跃吧！时空少女(台)/Tokiokakerushôjo,导演:细田守MamoruHosoda主演:仲里依纱RiisaNaka/石田卓也Takuya...2006/日本/剧情爱情科幻动画,8.6,194253,爱上未来的你。
156,玩具总动员3/ToyStory3/反斗奇兵3(港)/玩具的故事3,导演:李·昂克里奇LeeUnkrich主演:汤姆·汉克斯TomHanks/蒂姆·艾...2010/美国/喜剧动画奇幻冒险,8.8,201217,跨度十五年的欢乐与泪水。
157,花样年华/花樣年華/IntheMoodforLove,导演:王家卫KarWaiWong主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...2000/香港法国/剧情爱情,8.5,260186,偷情本没有这样美。
158,雨中曲/Singin'intheRain/雨中情/万花嬉春,导演:StanleyDonen/GeneKelly主演:GeneKelly/DonaldO'Connor/...1952/美国/喜剧歌舞爱情,9.0,97255,骨灰级歌舞片。
159,心迷宫/殡棺/TheCoffinintheMountain,导演:忻钰坤YukunXin主演:霍卫民WeiminHuo/王笑天XiaotianWang...2014/中国大陆/剧情犯罪悬疑,8.6,182005,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。
160,唐伯虎点秋香/唐伯虎點秋香/FlirtingScholar,导演:李力持Lik-ChiLee主演:周星驰StephenChow/巩俐LiGong/陈...1993/香港/喜剧爱情古装,8.4,350528,华太师是黄霑，吴镇宇四大才子之一。
161,时空恋旅人/AboutTime/时空旅恋人/回到最爱的一天(港),导演:理查德·柯蒂斯RichardCurtis主演:多姆纳尔·格利森DomhnallGl...2013/英国/剧情爱情奇幻,8.6,213746,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。
162,超能陆战队/BigHero6/大英雄联盟(港)/大英雄天团(台),导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams主演:斯科特...2014/美国/喜剧动作科幻动画冒险,8.6,391744,Balalala~~~
163,我是山姆/IAmSam/不一样的爸爸(港)/他不笨，他是我爸爸(台),导演:杰茜·尼尔森JessieNelson主演:SeanPenn/DakotaFanning/Mi...2001/美国/剧情家庭,8.8,109977,爱并不需要智商 。
164,蝙蝠侠：黑暗骑士崛起/TheDarkKnightRises/蝙蝠侠前传3：黑暗骑士崛起/黑暗骑士：黎明升起(台),导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...2012/美国英国/剧情动作科幻犯罪惊悚,8.6,309091,诺兰就是保证。
165,人工智能/ArtificialIntelligence:AI/AI人工智慧,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:海利·乔·奥斯蒙Haley...2001/美国/冒险剧情科幻,8.6,199257,对爱的执着，可以超越一切。
166,浪潮/DieWelle/恶魔教室(台)/白恤暴潮(港),导演:丹尼斯·甘塞尔DennisGansel主演:尤尔根·沃格尔JürgenVogel...2008/德国/剧情惊悚,8.7,138832,世界离独裁只有五天。
167,冰川时代/IceAge/冰河世纪/冰原历险记,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge主演...2002/美国/喜剧动画冒险,8.4,284920,松鼠才是角儿。
168,香水/Perfume:TheStoryofaMurderer/香水：一个杀人犯的故事/香水：一个谋杀犯的故事,导演:汤姆·提克威TomTykwer主演:本·卫肖BenWhishaw/艾伦·瑞克...2006/德国法国西班牙美国/剧情犯罪奇幻,8.4,288817,一个单凭体香达到高潮的男人。
169,朗读者/TheReader/为爱朗读(台)/读爱(港),导演:史蒂芬·戴德利StephenDaldry主演:凯特·温丝莱特KateWinslet...2008/美国德国/剧情爱情,8.5,288102,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。
170,罗生门/羅生門/Rashomon,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/千秋实...1950/日本/犯罪剧情悬疑,8.7,131811,人生的N种可能性。
171,爆裂鼓手/Whiplash/鼓动真我(港)/进击的鼓手(台),导演:达米安·沙泽勒DamienChazelle主演:迈尔斯·特勒MilesTeller/...2014/美国/剧情音乐,8.6,250615,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。
172,追随/Following/跟踪(台)/致命追踪,导演:克里斯托弗·诺兰ChristopherNolan主演:杰里米·西奥伯德Jeremy...1998/英国/犯罪悬疑惊悚,8.9,85572,诺兰的牛逼来源于内心散发出的恐惧。
173,请以你的名字呼唤我/CallMebyYourName/以你的名字呼唤我(港/台),导演:卢卡·圭达尼诺LucaGuadagnino主演:蒂莫西·柴勒梅德Timothée...2017/意大利法国巴西美国/剧情爱情同性,8.8,171819,沉醉在电影的情感和视听氛围中无法自拔。
174,一次别离/جدایینادرازسیمین/分居风暴(台)/伊朗式分居(港),导演:阿斯哈·法哈蒂AsgharFarhadi主演:佩曼·莫阿迪PeymanMoadi/...2011/伊朗法国/剧情家庭,8.7,138255,只有有信仰的人才能说出事实真相。
175,撞车/Crash/冲击效应/冲撞,导演:保罗·哈吉斯PaulHaggis主演:桑德拉·布洛克SandraBullock/...2004/美国德国/犯罪剧情,8.6,180791,天使与魔鬼的冲撞。
176,未麻的部屋/PerfectBlue/蓝色的恐惧/蓝色恐惧,导演:今敏SatoshiKon主演:岩男润子JunkoIwao/松本梨香RicaMatsu...1997/日本/动画奇幻惊悚,8.8,103863,好的剧本是，就算你猜到了结局也猜不到全部。
177,可可西里/Kekexili:MountainPatrol,导演:陆川ChuanLu主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...2004/中国大陆香港/剧情犯罪,8.7,134944,坚硬的信仰。
178,血战钢锯岭/HacksawRidge/钢锯岭/钢铁英雄(台),导演:梅尔·吉布森MelGibson主演:安德鲁·加菲尔德AndrewGarfield/...2016/美国澳大利亚/剧情传记历史战争,8.7,333454,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。
179,战争之王/LordofWar/军火之王(台/港),导演:安德鲁·尼科尔AndrewNiccol主演:尼古拉斯·凯奇NicolasCage/...2005/美国法国/剧情犯罪,8.5,181830,做一颗让别人需要你的棋子。
180,恐怖游轮/Triangle/汪洋血迷宮(台)/轮回三角,导演:克里斯托弗·史密斯ChristopherSmith主演:梅利莎·乔治Melissa...2009/英国澳大利亚/剧情悬疑惊悚,8.3,342570,不要企图在重复中寻找已经失去的爱。
181,地球上的星星/TaareZameenPar/心中的小星星(台)/每一个孩子都是特别的,导演:阿米尔·汗AamirKhan主演:达席尔·萨法瑞DarsheelSafary/阿...2007/印度/剧情儿童家庭,8.8,89589,天使保护事件始末。
182,梦之安魂曲/RequiemforaDream/噩梦挽歌(台)/迷上瘾(港),导演:达伦·阿伦诺夫斯基DarrenAronofsky主演:艾伦·伯斯汀EllenBur...2000/美国/剧情,8.7,116347,一场没有春天的噩梦。
183,达拉斯买家俱乐部/DallasBuyersClub/续命枭雄(港)/药命俱乐部(台),导演:让-马克·瓦雷Jean-MarcVallée主演:马修·麦康纳MatthewMcCon...2013/美国/剧情传记同性,8.7,176499,Jared Leto的腿比女人还美！
184,被解救的姜戈/DjangoUnchained/被解放的姜戈/决杀令(台),导演:昆汀·塔伦蒂诺QuentinTarantino主演:杰米·福克斯JamieFoxx/...2012/美国/剧情动作西部冒险,8.6,270369,热血沸腾，那个低俗、性感的无耻混蛋又来了。
185,阿飞正传/阿飛正傳/DaysofBeingWild,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/张曼玉MaggieC...1990/香港/犯罪剧情爱情,8.5,191919,王家卫是一种风格，张国荣是一个代表。
186,牯岭街少年杀人事件/牯嶺街少年殺人事件/ABrighterSummerDay,导演:杨德昌EdwardYang主演:张震ChenChang/杨静怡LisaYang/张...1991/台湾/剧情犯罪,8.7,111955,弱者送给弱者的一刀。
187,谍影重重/TheBourneIdentity/叛谍追击(港)/神鬼认证(台),导演:道格·里曼DougLiman主演:马特·达蒙MattDamon/弗兰卡·波坦...2002/美国德国捷克/动作悬疑惊悚,8.5,199867,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。
188,谍影重重2/TheBourneSupremacy/叛谍追击2：机密圈套(港)/神鬼认证：神鬼疑云(台),导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...2004/美国德国/动作悬疑惊悚,8.5,165959,谁说王家卫镜头很晃？
189,魔女宅急便/魔女の宅急便/魔女琪琪(台)/小魔女限时专送,导演:宫崎骏HayaoMiyazaki主演:高山南MinamiTakayama/佐久间玲Re...1989/日本/动画奇幻冒险,8.5,204007,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。
190,头脑特工队/InsideOut/玩转脑朋友(港)/脑筋急转弯(台),导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen&nb...2015/美国/喜剧动画冒险,8.7,239294,愿我们都不用长大，每一座城堡都能永远存在。
191,碧海蓝天/Legrandbleu/碧海情深/夜海倾情,导演:LucBesson主演:让-马克·巴尔Jean-MarcBarr/让·雷诺JeanRe...1988/法国美国意大利/剧情爱情,8.7,110386,在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。
192,忠犬八公物语/ハチ公物語/八千公物语/阿八的故事,导演:SeijirôKôyama主演:山本圭KeiYamamoto/井川比佐志Hisa...1987/日本/剧情,9.0,63160,养狗三日，便会对你终其一生。
193,惊魂记/Psycho/精神病患者/触目惊心,导演:AlfredHitchcock主演:JanetLeigh/AnthonyPerkins/VeraMiles1960/美国/悬疑惊悚恐怖,8.9,87158,故事的反转与反转，分裂电影的始祖。
194,房间/Room/不存在的房间(台)/抖室(港),导演:伦尼·阿伯拉罕森LennyAbrahamson主演:布丽·拉尔森BrieLarson...2015/爱尔兰加拿大英国美国/剧情家庭,8.8,163769,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。
195,再次出发之纽约遇见你/BeginAgain/再次出发/歌曲改变人生,导演:约翰·卡尼JohnCarney主演:凯拉·奈特莉KeiraKnightley/马克...2013/美国/喜剧爱情音乐,8.5,178625,爱我就给我看你的播放列表。
196,青蛇/GreenSnake,导演:徐克HarkTsui主演:张曼玉MaggieCheung/王祖贤JoeyWang/...1993/香港/剧情奇幻古装,8.4,231033,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。
197,秒速5厘米/秒速5センチメートル/秒速五厘米/秒速5公分,导演:新海诚MakotoShinkai主演:水桥研二KenjiMizuhashi/近藤好美...2007/日本/动画剧情爱情,8.3,311463,青春就是放弃和怀念。
198,东京物语/東京物語/东京故事/TokyoStory,导演:小津安二郎YasujirôOzu主演:笠智众ChishûRyû/原节...1953/日本/剧情家庭,9.2,53290,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。
199,哪吒闹海/PrinceNezha'sTriumphAgainstDragonKing/Nezhanaohai,导演:严定宪DingxianYan/王树忱ShuchenWang主演:梁正晖Zhenghui...1979/中国大陆/冒险动画奇幻,8.9,84309,想你时你在闹海。
200,海盗电台/TheBoatThatRocked/出位乐人谷(港)/海盗电波,导演:理查德·柯蒂斯RichardCurtis主演:比尔·奈伊BillNighy/肯尼...2009/英国德国法国/剧情喜剧音乐,8.6,169501,生命不止，摇滚不死。
201,末路狂花/Thelma&Louise/塞尔玛与路易丝/末路狂花,导演:雷德利·斯科特RidleyScott主演:吉娜·戴维斯GeenaDavis/苏...1991/美国法国/犯罪剧情惊悚,8.7,109143,没有了退路，只好飞向自由。
202,绿里奇迹/TheGreenMile/绿色奇迹(台)/绿色英里,导演:FrankDarabont主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...1999/美国/犯罪剧情奇幻悬疑,8.7,110737,天使暂时离开。
203,终结者2：审判日/Terminator2:JudgmentDay/终结者2/终结者2：末日审判,导演:詹姆斯·卡梅隆JamesCameron主演:阿诺·施瓦辛格ArnoldSchwarz...1991/美国法国/动作科幻,8.6,146648,少见的超越首部的续集，动作片中的经典。
204,源代码/SourceCode/启动原始码(台)/危机解密(港),导演:邓肯·琼斯DuncanJones主演:杰克·吉伦哈尔JakeGyllenhaal/...2011/美国加拿大/科幻悬疑惊悚,8.3,423192,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。
205,模仿游戏/TheImitationGame/解码游戏(港)/模拟游戏,导演:莫腾·泰杜姆MortenTyldum主演:本尼迪克特·康伯巴奇BenedictC...2014/英国美国/剧情传记战争同性,8.6,266402,他给机器起名“克里斯托弗”，因为这是他初恋的名字。
206,勇闯夺命岛/TheRock/石破天惊/绝地任务,导演:迈克尔·贝MichaelBay主演:肖恩·康纳利SeanConnery/尼古拉...1996/美国/动作冒险,8.5,146765,类型片的极致。
207,新龙门客栈/新龍門客棧/NewDragonGateInn,导演:李惠民RaymondLee主演:张曼玉MaggieCheung/林青霞Brigitte...1992/香港中国大陆/剧情动作武侠古装,8.5,191467,嬉笑怒骂，调风动月。
208,黑客帝国3：矩阵革命/TheMatrixRevolutions/骇客任务完结篇：最后战役/廿二世纪杀人网络3：惊变世纪,导演:AndyWachowski/LarryWachowski主演:KeanuReeves/LaurenceF...2003/美国澳大利亚/动作科幻,8.5,162423,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。
209,这个男人来自地球/TheManfromEarth/地球不死人(港)/这个人来自洞穴,导演:理查德·沙因克曼RichardSchenkman主演:大卫·李·史密斯David...2007/美国/剧情科幻,8.5,189156,科幻真正的魅力不是视觉效果能取代的。
210,卡萨布兰卡/Casablanca/北非谍影(港)/卡萨布兰卡,导演:MichaelCurtiz主演:亨弗莱·鲍嘉HumphreyBogart/英格丽·褒曼...1942/美国/剧情爱情战争,8.6,129027,世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。
211,一个叫欧维的男人决定去死/EnmansomheterOve/明天别再来敲门(台)/想死冇咁易(港),导演:汉内斯·赫尔姆HannesHolm主演:罗夫·拉斯加德RolfLassgård...2015/瑞典/剧情,8.7,125174,惠及一生的美丽。
212,小萝莉的猴神大叔/BajrangiBhaijaan/娃娃返乡任务(台)/宝莱坞之钢铁奶爸(台),导演:卡比尔·汗KabirKhan主演:萨尔曼·汗SalmanKhan/哈莎莉·马...2015/印度/剧情喜剧动作,8.6,150908,Null
213,城市之光/CityLights/CityLights:AComedyRomanceinPantomime/LichterderGroßstadt,导演:CharlesChaplin主演:查理·卓别林CharlesChaplin/弗吉尼亚·...1931/美国/喜剧剧情爱情,9.2,46180,永远的小人物，伟大的卓别林。
214,变脸/Face/Off/夺面双雄,导演:吴宇森JohnWoo主演:约翰·特拉沃尔塔JohnTravolta/尼古拉斯...1997/美国/动作科幻犯罪惊悚,8.4,221305,当发哥的风衣、墨镜出现在了凯奇身上⋯⋯
215,你的名字。/君の名は。/你的名字/君之名,导演:新海诚MakotoShinkai主演:神木隆之介RyûnosukeKamiki/上...2016/日本/剧情爱情动画,8.4,492225,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。
216,荒野生存/IntotheWild/浪荡天涯(港)/阿拉斯加之死(台),导演:西恩·潘SeanPenn主演:埃米尔·赫斯基EmileHirsch/马西娅·...2007/美国/冒险传记剧情,8.6,131801,出门必备：本草纲目。
217,迁徙的鸟/Lepeuplemigrateur/鸟的迁徙/鸟与梦飞行,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud主演:...2001/法国德国意大利西班牙瑞士/纪录片,9.1,52998,最美的飞翔。
218,E.T.外星人/E.T.:TheExtra-Terrestrial/外星人E.T./外星人,导演:StevenSpielberg主演:HenryThomas/DeeWallace/RobertMacNa...1982/美国/剧情科幻,8.5,158969,生病的E.T.皮肤的颜色就像柿子饼。
219,发条橙/AClockworkOrange/发条桔子/发条橙子,导演:StanleyKubrick主演:MalcolmMcDowell/PatrickMagee/Michael...1971/英国美国/犯罪剧情科幻,8.4,191938,我完全康复了。
220,无耻混蛋/InglouriousBasterds/恶棍特工(台)/希魔撞正杀人狂(港),导演:QuentinTarantino主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...2009/美国德国/剧情犯罪,8.4,230948,昆汀同学越来越变态了，比北野武还杜琪峰。
221,初恋这件小事/สิ่งเล็กเล็กที่เรียกว่า...รัก/初恋那件小事(港)/暗恋那点小事,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...2010/泰国/剧情喜剧爱情,8.3,478628,黑小鸭速效美白记。
222,美国丽人/AmericanBeauty/美丽有罪(港)/美国心·玫瑰情(台),导演:萨姆·门德斯SamMendes主演:凯文·史派西KevinSpacey/安妮特...1999/美国/剧情爱情家庭,8.4,191576,每个人的内心都是深不可测的大海。
223,"黄金三镖客/Ilbuono,ilbrutto,ilcattivo./好·坏·丑/独行侠决斗地狱门(港)",导演:SergioLeone主演:ClintEastwood/EliWallach/LeeVanCleef1966/意大利西班牙西德/冒险西部,9.1,53451,最棒的西部片。
224,英国病人/TheEnglishPatient/英伦情人(台)/别问我是谁(港),导演:安东尼·明格拉AnthonyMinghella主演:拉尔夫·费因斯RalphFien...1996/美国英国/爱情剧情战争,8.4,178324,"In memory, love lives forever..."
225,爱在午夜降临前/BeforeMidnight/爱在午夜希腊时(台)/情约半生(港),导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...2013/美国/剧情爱情,8.8,121051,所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。
226,燕尾蝶/スワロウテイル/SwallowtailButterfly/Suwarôteiru,导演:岩井俊二ShunjiIwai主演:恰拉Chara/伊藤步AyumiIto/三上...1996/日本/犯罪剧情,8.6,110132,现实与童话交相辉映的旅程。
